Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Description	Replication Sample Description	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]	CNV
01/20/2015	25009551	Kullo IJ	06/25/2014	Front Genet	www.ncbi.nlm.nih.gov/pubmed/25009551	The ATXN2-SH2B3 locus is associated with peripheral arterial disease: an electronic medical record-based genome-wide association study.	Peripheral artery disease	1,641 European ancestry cases, 1,604 European ancestry controls	740 European ancestry cases, 1,501 European ancestry controls	4q21.3	4	86311831	MAPK10	MAPK10			5602			rs11726269-G	rs11726269	0	11726269	intron	0	NR	2E-6	5.698970004336018		   1.39	[1.22-1.59] 	Illumina [537,872]	N
01/20/2015	25009551	Kullo IJ	06/25/2014	Front Genet	www.ncbi.nlm.nih.gov/pubmed/25009551	The ATXN2-SH2B3 locus is associated with peripheral arterial disease: an electronic medical record-based genome-wide association study.	Peripheral artery disease	1,641 European ancestry cases, 1,604 European ancestry controls	740 European ancestry cases, 1,501 European ancestry controls	22q11.23	22	23548649	LOC388882, IGLL1	PCAT14 - IGLL1	101978785	3543		        1.34	       24.48	rs131408-C	rs131408	0	131408	Intergenic	1	NR	6E-6	5.221848749616356		   1.21	[1.11-1.32] 	Illumina [537,872]	N
01/20/2015	24964207	Mullins N	06/25/2014	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/24964207	Genetic relationships between suicide attempts, suicidal ideation and major psychiatric disorders: a genome-wide association and polygenic scoring study.	Suicidal ideation in depression or bipolar disorder	237 European ancestry cases, 510 European ancestry controls	NA	12q14.3	12	66422359	NR	GRIP1			23426			rs10748045-G	rs10748045	0	10748045	intron	0	0.354	1E-6	5.999999999999999		   1.78	[1.41-2.25] 	Illumina [494,742]	N
01/20/2015	24964207	Mullins N	06/25/2014	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/24964207	Genetic relationships between suicide attempts, suicidal ideation and major psychiatric disorders: a genome-wide association and polygenic scoring study.	Suicide attempts in depression or bipolar disorder	426 European ancestry cases, 2,844 European ancestry controls	NA	7q36.1	7	150339575	RARRES2	RARRES2			5919			rs17173608-G	rs17173608	0	17173608	intron	0	0.058	2E-7	6.698970004336019		   1.93	[1.69-2.19] 	Illumina [up to 503,016]	N
01/20/2015	24964207	Mullins N	06/25/2014	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/24964207	Genetic relationships between suicide attempts, suicidal ideation and major psychiatric disorders: a genome-wide association and polygenic scoring study.	Suicide attempts in depression or bipolar disorder	426 European ancestry cases, 2,844 European ancestry controls	NA	4p15.32	4	15993502	PROM1	PROM1			8842			rs17387100-G	rs17387100	0	17387100	intron	0	0.078	8E-7	6.096910013008056		   1.76	[1.54-1.99] 	Illumina [up to 503,016]	N
01/20/2015	24964207	Mullins N	06/25/2014	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/24964207	Genetic relationships between suicide attempts, suicidal ideation and major psychiatric disorders: a genome-wide association and polygenic scoring study.	Suicide attempts in depression or bipolar disorder	426 European ancestry cases, 2,844 European ancestry controls	NA	11q23.2	11	113249490	NCAM1	NCAM1			4684			rs3781878-?	rs3781878	0	3781878	intron	0	0.728	2E-6	5.698970004336018		   1.54	[1.2-2.08] 	Illumina [up to 503,016]	N
01/20/2015	24963161	Chen P	06/24/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24963161	CMPK1 and RBP3 are associated with corneal curvature in Asian populations.	Corneal curvature	3,178 Chinese ancestry individuals, 2,138 Malay ancestry individuals, 2,124 Asian Indian ancestry individuals	2,473 Chinese ancestry individuals, 2,747 Japanese ancestry individuals	1p33	1	47388842	CMPK1	CMPK1 - FOXE3	51727	2301		       10.00	       27.23	rs17103186-C	rs17103186	0	17103186	Intergenic	1	0.82	3E-12	11.52287874528034		    .11	[0.071-0.149] unit increase	Illumina [~7 Million] (Imputed)	N
01/20/2015	24963161	Chen P	06/24/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24963161	CMPK1 and RBP3 are associated with corneal curvature in Asian populations.	Corneal curvature	3,178 Chinese ancestry individuals, 2,138 Malay ancestry individuals, 2,124 Asian Indian ancestry individuals	2,473 Chinese ancestry individuals, 2,747 Japanese ancestry individuals	10q11.22	10	47351134	RBP3	RBP3			5949			rs11204213-T	rs11204213	0	11204213	missense	0	0.04	1E-13	13		    .29	[0.21-0.37] unit increase	Illumina [~7 Million] (Imputed)	N
01/20/2015	24963161	Chen P	06/24/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24963161	CMPK1 and RBP3 are associated with corneal curvature in Asian populations.	Corneal curvature	3,178 Chinese ancestry individuals, 2,138 Malay ancestry individuals, 2,124 Asian Indian ancestry individuals	2,473 Chinese ancestry individuals, 2,747 Japanese ancestry individuals	1p36.22	1	11220937	MTOR	MTOR			2475			rs74225573-C	rs74225573	0	74225573	intron	0	0.18	6E-18	17.22184874961635		    .16	[0.12-0.20] unit increase	Illumina [~7 Million] (Imputed)	N
01/20/2015	24963161	Chen P	06/24/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24963161	CMPK1 and RBP3 are associated with corneal curvature in Asian populations.	Corneal curvature	3,178 Chinese ancestry individuals, 2,138 Malay ancestry individuals, 2,124 Asian Indian ancestry individuals	2,473 Chinese ancestry individuals, 2,747 Japanese ancestry individuals	4q12	4	54228300	PDGFRA	PDGFRA			5156			rs1800813-G	rs1800813	0	1800813	nearGene-5	0	0.77	8E-9	8.096910013008056		    .10	[0.061-0.139] unit increase	Illumina [~7 Million] (Imputed)	N
01/21/2015	24957906	Kuiper JJ	06/22/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24957906	A genome-wide association study identifies a functional ERAP2 haplotype associated with birdshot chorioretinopathy.	Birdshot chorioretinopathy	117 European ancestry cases, 693 European ancestry  controls	30 European ancestry cases, 2,793 European ancestry controls	5q15	5	96954943	ERAP1, ERAP2, LNPEP	LNPEP			4012			rs7705093-T	rs7705093	0	7705093	intron	0	0.442	2E-9	8.698970004336019		   2.20	[1.70-2.90] 	Illumina [9,932,851] (imputed)	N
01/21/2015	24957906	Kuiper JJ	06/22/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24957906	A genome-wide association study identifies a functional ERAP2 haplotype associated with birdshot chorioretinopathy.	Birdshot chorioretinopathy	117 European ancestry cases, 693 European ancestry  controls	30 European ancestry cases, 2,793 European ancestry controls	14q32.31[rs150571175]; 14q32.31[rs7159505]			TECPR2	 - 						rs150571175-A	rs150571175, rs7159505					0.017	2E-7			   4.60	[2.60-8.30] 	Illumina [9,932,851] (imputed)	N
01/21/2015	24957906	Kuiper JJ	06/22/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24957906	A genome-wide association study identifies a functional ERAP2 haplotype associated with birdshot chorioretinopathy.	Birdshot chorioretinopathy	117 European ancestry cases, 693 European ancestry  controls	30 European ancestry cases, 2,793 European ancestry controls	NR			HLA	 - 						HLA-A*29:02-?	HLA-A*29:02					0.026	7E-74			 157.50	[91.6-272.6] 	Illumina [9,932,851] (imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	13q34	13	110154143	COL4A1	COL4A1			1282			rs1192201-G	rs1192201	0	1192201	intron	0	NR	2E-6	5.698970004336018	(Fixed effect)	    .08	[0.041-0.119] unit decrease	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	5q35.2	5	175817434	CPLX2	CPLX2			10814			rs55914911-G	rs55914911	0	55914911	intron	0	NR	1E-6	5.999999999999999	(Fixed effect)	    .23	[0.13-0.33] unit increase	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	21q22.3	21	43173030	CRYAA	CRYAA			1409			rs11911275-G	rs11911275	0	11911275	nearGene-3	0	0.44	2E-9	8.698970004336019	(Random effect)	    .08	[0.021-0.139] unit increase	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	9p21.3	9	20844432	FOCAD	FOCAD			54914			rs76495380-T	rs76495380	0	76495380	intron	0	NR	2E-7	6.698970004336019	(Fixed effect)	    .14	[0.081-0.199] unit increase	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	7q11.23	7	75625897	HIP1	HIP1			3092			rs1179624-T	rs1179624	0	1179624	intron	0	NR	5E-6	5.301029995663981	(Fixed effect)	    .06	[0.04-0.08] unit increase	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	2p14	2	68010781	Intergenic	ETAA1 - C1D	54465	10438		      600.37	       31.42	rs146109287-C	rs146109287	0	146109287	Intergenic	1	NR	2E-7	6.698970004336019	(Fixed effect)	    .10	[0.061-0.139] unit increase	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	2q22.3	2	146951296	Intergenic	PABPC1P2 - RPL26P14	728773	100133235		      360.31	      850.55	rs75638626-C	rs75638626	0	75638626	Intergenic	1	NR	8E-6	5.096910013008055	(Fixed effect)	    .08	[0.041-0.119] unit decrease	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	11p12	11	42717173	Intergenic	RPL9P23 - HNRNPKP3	100131020	399881		     1178.19	      544.33	rs142850025-G	rs142850025	0	142850025	Intergenic	1	NR	6E-6	5.221848749616356	(Fixed effect)	    .19	[0.11-0.27] unit decrease	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	11p14.3	11	25112998	Intergenic	LUZP2 - RPL36AP40	338645	554234		       30.36	      475.37	rs12788764-C	rs12788764	0	12788764	Intergenic	1	NR	5E-6	5.301029995663981	(Fixed effect)	    .07	[0.05-0.09] unit decrease	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	3q25.31	3	156387295	KCNAB1	KCNAB1			7881			rs7615568-G	rs7615568	0	7615568	intron	0	0.09	1E-8	8	(Random effect)	    .11	[0.051-0.169] unit increase	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	6q24.2	6	143041616	LOC100507489	HIVEP2 - AIG1	3097	51390		       95.26	       17.75	rs75796365-C	rs75796365	0	75796365	Intergenic	1	NR	3E-6	5.522878745280337	(Fixed effect)	    .13	[0.071-0.189] unit decrease	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	12q24.11	12	109570188	MMAB	MMAB			326625			rs59227481-G	rs59227481	0	59227481	intron	0	NR	6E-7	6.221848749616355	(Fixed effect)	    .08	[0.041-0.119] unit increase	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	6q27	6	165539639	PDE10A	PDE10A			10846			rs545099-C	rs545099	0	545099	intron	0	NR	9E-6	5.045757490560675	(Fixed effect)	    .20	[0.12-0.28] unit increase	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	20q12	20	42444015	PTPRT	PTPRT			11122			rs3890324-C	rs3890324	0	3890324	intron	0	NR	2E-6	5.698970004336018	(Fixed effect)	    .06	[0.04-0.08] unit decrease	Illumina [4,736,131] (Imputed)	N
12/17/2014	24951543	Liao J	06/20/2014	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24951543	Meta-analysis of genome-wide association studies in multiethnic Asians identifies two loci for age-related nuclear cataract.	Age-related nuclear cataracts	2,369 Malay ancestry individuals, 2,200 Indian ancestry individuals, 2,571 Chinese ancestry individuals	NA	4q13.3	4	71451250	SLC4A4	SLC4A4			8671			rs148635969-A	rs148635969	0	148635969	missense	0	NR	8E-6	5.096910013008055	(Fixed effect)	    .27	[0.15-0.39] unit increase	Illumina [4,736,131] (Imputed)	N
01/21/2015	24950379	Metrustry SJ	06/20/2014	Twin Res Hum Genet	www.ncbi.nlm.nih.gov/pubmed/24950379	Variants close to NTRK2 gene are associated with birth weight in female twins.	Birth weight	4,593 European ancestry female twins	3,033 European ancestry female twins, 1,418 European ancestry females, 1,579 European ancestry males	9q21.33	9	85156012	NTRK2	LOC102724605			102724605			rs12340987-A	rs12340987	0	12340987	nearGene-5	0	0.20	1E-8	8		    .13	[0.091-0.169] unit decrease	Illumina [up to 874,733]	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, lower limb)	8,007 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	1p36.12	1	22120823	WNT4	WNT4			54361			rs3765350-A	rs3765350	0	3765350	intron	0	0.78	3E-8	7.522878745280337		    .10	[0.062-0.132] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, lower limb)	8,007 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	7q31.31	7	121329715	WNT16, FAM3C, CPED1	WNT16			51384			rs2908004-A	rs2908004	0	2908004	missense	0	0.47	3E-11	10.52287874528034		    .10	[0.071-0.129] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, lower limb)	8,007 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	9q34.11	9	130588697	FUBP3	FUBP3			8939			rs7466269-A	rs7466269	0	7466269	intron	0	0.65	2E-8	7.698970004336018		    .09	[0.058-0.116] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, lower limb)	8,007 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	12p11.22	12	27831257	KLHDC5, PTHLH	KLHL42 - PTHLH	57542	5744		       28.22	      126.83	rs4420311-G	rs4420311	0	4420311	Intergenic	1	0.46	3E-8	7.522878745280337		    .09	[0.055-0.117] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, lower limb)	8,007 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	14q32.12	14	92649065	RIN3	RIN3			79890			rs754388-C	rs754388	0	754388	intron	0	0.82	1E-10	10		    .13	[0.091-0.169] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, lower limb)	8,007 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	2q24.3	2	165744536	GALNT3	CSRNP3 - GALNT3	80034	2591		       55.13	        3.27	rs1346004-A  	rs1346004 	0	1346004	Intergenic	1	0.5	5E-7	6.30102999566398		    .08	 unit decrease	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, lower limb)	8,007 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	1p36.12	1	22120823	WNT4	WNT4			54361			rs3765350-A	rs3765350	0	3765350	intron	0	NR	6E-8	7.221848749616355	(EA)	    .11	[0.068-0.146] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, lower limb)	8,007 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	7q31.31	7	121329715	WNT16, FAM3C, CPED1	WNT16			51384			rs2908004-A	rs2908004	0	2908004	missense	0	NR	1E-9	8.999999999999998	(EA)	    .10	[0.07-0.138] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, lower limb)	8,007 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	9q34.11	9	130588697	FUBP3	FUBP3			8939			rs7466269-A	rs7466269	0	7466269	intron	0	NR	5E-6	5.301029995663981	(EA)	    .08	[0.045-0.113] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, lower limb)	8,007 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	12p11.22	12	27831257	KLHDC5, PTHLH	KLHL42 - PTHLH	57542	5744		       28.22	      126.83	rs4420311-G	rs4420311	0	4420311	Intergenic	1	NR	1E-7	7	(EA)	    .09	[0.058-0.126] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, lower limb)	8,007 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	14q32.12	14	92649065	RIN3	RIN3			79890			rs754388-C	rs754388	0	754388	intron	0	NR	2E-9	8.698970004336019	(EA)	    .14	[0.091-0.179] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, skull)	7,976 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	11p14.1	11	27315157	CCDC34, LIN7C, LGR4	BBOX1 - CCDC34	8424	91057		      187.35	       23.36	rs10160456-C	rs10160456	0	10160456	Intergenic	1	0.38	8E-6	5.096910013008055	(Conditional)	    .07	[0.038-0.098] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, skull)	7,976 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	6q22.32	6	126499415	CENPW, RSPO3	MIR588 - VIMP1	693173	100130535		       14.70	      102.94	rs2130604-T	rs2130604	0	2130604	Intergenic	1	0.24	3E-11	10.52287874528034		    .11	[0.079-0.145] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, skull)	7,976 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	6q22.32	6	126498553	CENPW, RSPO3	MIR588 - VIMP1	693173	100130535		       13.84	      103.80	rs4418209-T	rs4418209	0	4418209	Intergenic	1	0.53	1E-6	5.999999999999999		    .07	[0.031-0.109] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, skull)	7,976 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	6q22.32	6	126499415	CENPW, RSPO3	MIR588 - VIMP1	693173	100130535		       14.70	      102.94	rs2130604-T	rs2130604	0	2130604	Intergenic	1	NR	4E-11	10.39794000867204	(EA)	    .13	[0.091-0.167] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, skull)	7,976 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	6q23.2	6	133029797	EYA4	RPL23AP46 - LINC00326	442260	285735		       31.76	       58.28	rs3012465-G	rs3012465	0	3012465	Intergenic	1	NR	2E-12	11.69897000433602	(EA)	    .12	[0.088-0.155] unit increase	Illumina [~2.5 Million] (imputed)	N
12/18/2014	24945404	Kemp JP	06/19/2014	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, skull)	7,976 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	6q23.2	6	133029797	EYA4	RPL23AP46 - LINC00326	442260	285735		       31.76	       58.28	rs3012465-G	rs3012465	0	3012465	Intergenic	1	0.67	8E-17	16.09691001300806		    .13	[0.098-0.156] unit increase	Illumina [~2.5 Million] (imputed)	N
